"code";"description";"procurement_category";"name";"parent";"language_code"
"18420000-9";;"goods";"Аксессуары для одежды";"18400000-3";"ru"
"18421000-6";;"goods";"Handkerchiefs";"18420000-9";"en"
"18421000-6";;"goods";"Batiste";"18420000-9";"ro"
"18421000-6";;"goods";"Носовые платки";"18420000-9";"ru"
"18422000-3";;"goods";"Scarves";"18420000-9";"en"
"18422000-3";;"goods";"Eşarfe";"18420000-9";"ro"
"18422000-3";;"goods";"Шарфы";"18420000-9";"ru"
"18423000-0";;"goods";"Ties";"18420000-9";"en"
"18423000-0";;"goods";"Cravate";"18420000-9";"ro"
"18423000-0";;"goods";"Галстуки";"18420000-9";"ru"
"18424000-7";;"goods";"Gloves";"18420000-9";"en"
"18424000-7";;"goods";"Mănuşi";"18420000-9";"ro"
"18424000-7";;"goods";"Перчатки";"18420000-9";"ru"
"18424300-0";;"goods";"Disposable gloves";"18424000-7";"en"
"18424300-0";;"goods";"Mănuşi de unică folosinţă";"18424000-7";"ro"
"18424300-0";;"goods";"Одноразовые перчатки";"18424000-7";"ru"
"18424400-1";;"goods";"Mittens";"18424000-7";"en"
"18424400-1";;"goods";"Mănuşi cu un deget";"18424000-7";"ro"
"18424400-1";;"goods";"Рукавицы";"18424000-7";"ru"
"18424500-2";;"goods";"Gauntlets";"18424000-7";"en"
"18424500-2";;"goods";"Mănuşi lungi";"18424000-7";"ro"
"18424500-2";;"goods";"Длинные перчатки";"18424000-7";"ru"
"18425000-4";;"goods";"Belts";"18420000-9";"en"
"18425000-4";;"goods";"Centuri";"18420000-9";"ro"
"18425000-4";;"goods";"Ремни";"18420000-9";"ru"
"18425100-5";;"goods";"Bandoliers";"18425000-4";"en"
"18425100-5";;"goods";"Banduliere";"18425000-4";"ro"
"18425100-5";;"goods";"Патронташи";"18425000-4";"ru"
"18440000-5";;"goods";"Hats and headgear";"18400000-3";"en"
"18440000-5";;"goods";"Pălării şi articole pentru acoperit capul";"18400000-3";"ro"
"18440000-5";;"goods";"Шляпы и головные уборы";"18400000-3";"ru"
"18441000-2";;"goods";"Hats";"18440000-5";"en"
"18441000-2";;"goods";"Pălării";"18440000-5";"ro"
"18441000-2";;"goods";"Шляпы";"18440000-5";"ru"
"18443000-6";;"goods";"Headgear and headgear accessories";"18440000-5";"en"
"18443000-6";;"goods";"Articole pentru acoperit capul şi accesorii";"18440000-5";"ro"
"18443000-6";;"goods";"Головные уборы и аксессуары";"18440000-5";"ru"
"18443100-7";;"goods";"Headbands";"18443000-6";"en"
"18443100-7";;"goods";"Banderole";"18443000-6";"ro"
"18443100-7";;"goods";"Ленты";"18443000-6";"ru"
"18443300-9";;"goods";"Headgear";"18443000-6";"en"
"18443300-9";;"goods";"Articole pentru acoperit capul";"18443000-6";"ro"
"18443300-9";;"goods";"Головные уборы";"18443000-6";"ru"
"18443310-2";;"goods";"Berets";"18443000-6";"en"
"18443310-2";;"goods";"Berete";"18443000-6";"ro"
"18443310-2";;"goods";"Береты";"18443000-6";"ru"
"18443320-5";;"goods";"Field caps";"18443000-6";"en"
"18443320-5";;"goods";"Berete de campanie";"18443000-6";"ro"
"18443320-5";;"goods";"Военные береты";"18443000-6";"ru"
"18443330-8";;"goods";"Hoods";"18443000-6";"en"
"18443330-8";;"goods";"Glugi";"18443000-6";"ro"
"18443330-8";;"goods";"Глюги";"18443000-6";"ru"
"18443340-1";;"goods";"Caps";"18443000-6";"en"
"18443340-1";;"goods";"Şepci";"18443000-6";"ro"
"18443340-1";;"goods";"Шапки";"18443000-6";"ru"
"18443400-0";;"goods";"Chin straps for headgear";"18443000-6";"en"
"18443400-0";;"goods";"Şireturi de trecut pe sub bărbie pentru articolele pentru cap";"18443000-6";"ro"
"18443400-0";;"goods";"Шнурки головных уборов для завязывания под подбородком";"18443000-6";"ru"
"18443500-1";;"goods";"Visors";"18443000-6";"en"
"18443500-1";;"goods";"Viziere";"18443000-6";"ro"
"18443500-1";;"goods";"Козырьки";"18443000-6";"ru"
"18444000-3";;"goods";"Protective headgear";"18440000-5";"en"
"18444000-3";;"goods";"Articole de protecţie pentru cap";"18440000-5";"ro"
"18444000-3";;"goods";"Защитные головные уборы";"18440000-5";"ru"
"18444100-4";;"goods";"Safety headgear";"18444000-3";"en"
"18444100-4";;"goods";"Articole de siguranţă pentru cap";"18444000-3";"ro"
"18444100-4";;"goods";"Головные уборы для безопасности";"18444000-3";"ru"
"18444110-7";;"goods";"Helmets";"18444000-3";"en"
"18444110-7";;"goods";"Caschete";"18444000-3";"ro"
"18444110-7";;"goods";"Каски";"18444000-3";"ru"
"18444111-4";;"goods";"Crash helmets";"18444000-3";"en"
"18444111-4";;"goods";"Caschete antişoc";"18444000-3";"ro"
"18444111-4";;"goods";"Противоударные каски";"18444000-3";"ru"
"18444112-1";;"goods";"Bicycle helmets";"18444000-3";"en"
"18444112-1";;"goods";"Căşti de bicicletă";"18444000-3";"ro"
"18444112-1";;"goods";"Велосипедные шлемы";"18444000-3";"ru"
"18444200-5";;"goods";"Hard hats";"18444000-3";"en"
"18444200-5";;"goods";"Căşti de siguranţă";"18444000-3";"ro"
"18444200-5";;"goods";"Каски безопасности";"18444000-3";"ru"
"18450000-8";;"goods";"Fasteners (clothing)";"18400000-3";"en"
"18450000-8";;"goods";"Închizători (pentru îmbrăcăminte)";"18400000-3";"ro"
"18450000-8";;"goods";"Застежки (для одежды)";"18400000-3";"ru"
"18451000-5";;"goods";"Buttons";"18450000-8";"en"
"18451000-5";;"goods";"Nasturi";"18450000-8";"ro"
"18451000-5";;"goods";"Кнопки";"18450000-8";"ru"
"18451100-6";;"goods";"Parts of buttons";"18451000-5";"en"
"18451100-6";;"goods";"Părţi de nasturi";"18451000-5";"ro"
"18451100-6";;"goods";"Части кнопки";"18451000-5";"ru"
"18452000-2";;"goods";"Safety pins";"18450000-8";"en"
"18452000-2";;"goods";"Ace de siguranţă";"18450000-8";"ro"
"18452000-2";;"goods";"Безопасные булавки";"18450000-8";"ru"
"18453000-9";;"goods";"Zip fasteners";"18450000-8";"en"
"18453000-9";;"goods";"Fermoare";"18450000-8";"ro"
"18453000-9";;"goods";"Фермуары";"18450000-8";"ru"
"18500000-4";;"goods";"Jewellery, watches and related articles";"18000000-9";"en"
"18500000-4";;"goods";"Bijuterii, ceasuri şi articole conexe";"18000000-9";"ro"
"18500000-4";;"goods";"Ювелирные изделия, часы и другие вещи";"18000000-9";"ru"
"18510000-7";;"goods";"Jewellery and related articles";"18500000-4";"en"
"18510000-7";;"goods";"Bijuterii şi articole conexe";"18500000-4";"ro"
"18510000-7";;"goods";"Изделия бижутерии и сопутствующие изделия";"18500000-4";"ru"
"18511000-4";;"goods";"Precious stone for jewellery";"18510000-7";"en"
"18511000-4";;"goods";"Pietre preţioase pentru bijuterii";"18510000-7";"ro"
"18511000-4";;"goods";"Драгоценные камни для изделий бижутерии";"18510000-7";"ru"
"18511100-5";;"goods";"Diamonds";"18511000-4";"en"
"18511100-5";;"goods";"Diamante";"18511000-4";"ro"
"18511100-5";;"goods";"Алмазы / Бриллианты";"18511000-4";"ru"
"18511200-6";;"goods";"Rubies";"18511000-4";"en"
"18511200-6";;"goods";"Rubine";"18511000-4";"ro"
"18511200-6";;"goods";"Рубины";"18511000-4";"ru"
"18511300-7";;"goods";"Emeralds";"18511000-4";"en"
"18511300-7";;"goods";"Smaralde";"18511000-4";"ro"
"18511300-7";;"goods";"Изумруды";"18511000-4";"ru"
"18511400-8";;"goods";"Opal stone";"18511000-4";"en"
"18511400-8";;"goods";"Piatră de opal";"18511000-4";"ro"
"18511400-8";;"goods";"Опаловый камень";"18511000-4";"ru"
"18511500-9";;"goods";"Quartz stone";"18511000-4";"en"
"18511500-9";;"goods";"Piatră de cuarţ";"18511000-4";"ro"
"18511500-9";;"goods";"Кварцевый камень";"18511000-4";"ru"
"18511600-0";;"goods";"Tourmaline stone";"18511000-4";"en"
"18511600-0";;"goods";"Piatră de turmalină";"18511000-4";"ro"
"18511600-0";;"goods";"Турмалиновый камень";"18511000-4";"ru"
"18512000-1";;"goods";"Coins and medals";"18510000-7";"en"
"18512000-1";;"goods";"Monede şi medalii";"18510000-7";"ro"
"18512000-1";;"goods";"Монеты и медали";"18510000-7";"ru"
"18512100-2";;"goods";"Coins";"18512000-1";"en"
"18512100-2";;"goods";"Monede";"18512000-1";"ro"
"18512100-2";;"goods";"Монеты";"18512000-1";"ru"
"18512200-3";;"goods";"Medals";"18512000-1";"en"
"18512200-3";;"goods";"Medalii";"18512000-1";"ro"
"18512200-3";;"goods";"Медали";"18512000-1";"ru"
"18513000-8";;"goods";"Articles of jewellery";"18510000-7";"en"
"18513000-8";;"goods";"Bijuterii";"18510000-7";"ro"
"18513000-8";;"goods";"Изделия бижутерии";"18510000-7";"ru"
"18513100-9";;"goods";"Pearls";"18513000-8";"en"
"18513100-9";;"goods";"Perle";"18513000-8";"ro"
"18513100-9";;"goods";"Жемчужины";"18513000-8";"ru"
"18513200-0";;"goods";"Goldsmiths' wares";"18513000-8";"en"
"18513200-0";;"goods";"Piese de orfevrerie";"18513000-8";"ro"
"18513200-0";;"goods";"Запасные части для золотых дел мастеров";"18513000-8";"ru"
"18513300-1";;"goods";"Articles of precious metal";"18513000-8";"en"
"18513300-1";;"goods";"Articole din metale preţioase";"18513000-8";"ro"
"18513300-1";;"goods";"Изделия из драгоценных металлов";"18513000-8";"ru"
"18513400-2";;"goods";"Articles of precious or semi-precious stones";"18513000-8";"en"
"18513400-2";;"goods";"Articole din pietre preţioase sau semipreţioase";"18513000-8";"ro"
"18513400-2";;"goods";"Изделия из драгоценных или полудрагоценных камней";"18513000-8";"ru"
"18513500-3";;"goods";"Silversmiths' wares";"18513000-8";"en"
"18513500-3";;"goods";"Articole de argintărie";"18513000-8";"ro"
"18513500-3";;"goods";"Изделия из серебра";"18513000-8";"ru"
"18520000-0";;"goods";"Personal horology";"18500000-4";"en"
"18520000-0";;"goods";"Orologerie personală";"18500000-4";"ro"
"18520000-0";;"goods";"Личные часы";"18500000-4";"ru"
"18521000-7";;"goods";"Watches";"18520000-0";"en"
"18521000-7";;"goods";"Ceasuri";"18520000-0";"ro"
"18521000-7";;"goods";"Часы";"18520000-0";"ru"
"18521100-8";;"goods";"Glass for watches";"18521000-7";"en"
"18521100-8";;"goods";"Sticlă pentru ceasuri de mână";"18521000-7";"ro"
"18521100-8";;"goods";"Стекла для наручных часов";"18521000-7";"ru"
"18522000-4";;"goods";"Wristwatches";"18520000-0";"en"
"18522000-4";;"goods";"Ceasuri de mână";"18520000-0";"ro"
"18522000-4";;"goods";"Наручные часы";"18520000-0";"ru"
"18523000-1";;"goods";"Stopwatches";"18520000-0";"en"
"18523000-1";;"goods";"Cronometre";"18520000-0";"ro"
"18523000-1";;"goods";"Хронометры";"18520000-0";"ru"
"18530000-3";;"goods";"Presents and rewards";"18500000-4";"en"
"18530000-3";;"goods";"Cadouri şi recompense";"18500000-4";"ro"
"18530000-3";;"goods";"Подарки и награды";"18500000-4";"ru"
"18600000-5";;"goods";"Furs and articles of fur";"18000000-9";"en"
"18600000-5";;"goods";"Blănuri şi articole din blană";"18000000-9";"ro"
"18600000-5";;"goods";"Меха и меховые изделия";"18000000-9";"ru"
"18610000-8";;"goods";"Fur articles";"18600000-5";"en"
"18610000-8";;"goods";"Articole din blană";"18600000-5";"ro"
"18610000-8";;"goods";"Меховые изделия";"18600000-5";"ru"
"18611000-5";;"goods";"Fur skins";"18610000-8";"en"
"18611000-5";;"goods";"Piei cu blană";"18610000-8";"ro"
"18611000-5";;"goods";"Меховые шкурки";"18610000-8";"ru"
"18612000-2";;"goods";"Fur clothing";"18610000-8";"en"
"18612000-2";;"goods";"Îmbrăcăminte din blană";"18610000-8";"ro"
"18612000-2";;"goods";"Меховая одежда";"18610000-8";"ru"
"18613000-9";;"goods";"Artificial fur articles";"18610000-8";"en"
"18613000-9";;"goods";"Articole din blană artificială";"18610000-8";"ro"
"18613000-9";;"goods";"Изделия из искусственного меха";"18610000-8";"ru"
"18620000-1";;"goods";"Furs";"18600000-5";"en"
"18620000-1";;"goods";"Шубы, меха";"18600000-5";"ru"
"18800000-7";;"goods";"Footwear";"18000000-9";"en"
"18800000-7";;"goods";"Articole de încălţăminte";"18000000-9";"ro"
"18800000-7";;"goods";"Обувные изделия";"18000000-9";"ru"
"18810000-0";;"goods";"Footwear other than sports and protective footwear";"18800000-7";"en"
"18810000-0";;"goods";"Încălţăminte, alta decât încălţămintea pentru sport sau de protecţie";"18800000-7";"ro"
"18810000-0";;"goods";"Обувь, кроме спортивной и защитной обуви";"18800000-7";"ru"
"18811000-7";;"goods";"Waterproof footwear";"18810000-0";"en"
"18811000-7";;"goods";"Încălţăminte impermeabilă";"18810000-0";"ro"
"18811000-7";;"goods";"Водонепроницаемая обувь";"18810000-0";"ru"
"18812000-4";;"goods";"Footwear with rubber or plastic parts";"18810000-0";"en"
"18812000-4";;"goods";"Încălţăminte cu părţi de cauciuc sau de material plastic";"18810000-0";"ro"
"18812000-4";;"goods";"Обувь с резиновыми или пластиковыми частями";"18810000-0";"ru"
"18812100-5";;"goods";"Sandals with uppers of rubber or plastics";"18812000-4";"en"
"18812100-5";;"goods";"Sandale cu feţe de cauciuc sau de material plastic";"18812000-4";"ro"
"18812100-5";;"goods";"Сандалии с верхом из резины (каучука) или пластмассы";"18812000-4";"ru"
"18812200-6";;"goods";"Rubber boots";"18812000-4";"en"
"18812200-6";;"goods";"Cizme de cauciuc";"18812000-4";"ro"
"18812200-6";;"goods";"Резиновые сапоги";"18812000-4";"ru"
"18812300-7";;"goods";"Town footwear with rubber or plastic uppers";"18812000-4";"en"
"18812300-7";;"goods";"Încălţăminte de oraş cu feţe de cauciuc sau de material plastic";"18812000-4";"ro"
"18812300-7";;"goods";"Обувь для города с верхом из резины или пластиковых материалов";"18812000-4";"ru"
"18812400-8";;"goods";"Flip-flops";"18812000-4";"en"
"18812400-8";;"goods";"Şlapi";"18812000-4";"ro"
"18812400-8";;"goods";"Шлепанцы";"18812000-4";"ru"
"18813000-1";;"goods";"Footwear with uppers of leather";"18810000-0";"en"
"18813000-1";;"goods";"Încălţăminte cu feţe de piele";"18810000-0";"ro"
"18813000-1";;"goods";"Обувь с верхом из натуральной кожи";"18810000-0";"ru"
"18813100-2";;"goods";"Sandals";"18813000-1";"en"
"18813100-2";;"goods";"Sandale";"18813000-1";"ro"
"18813100-2";;"goods";"Сандалии";"18813000-1";"ru"
"18813200-3";;"goods";"Slippers";"18813000-1";"en"
"18813200-3";;"goods";"Papuci de casă";"18813000-1";"ro"
"18813200-3";;"goods";"Домашние тапочки";"18813000-1";"ru"
"18813300-4";;"goods";"Town footwear";"18813000-1";"en"
"18813300-4";;"goods";"Încălţăminte de oraş";"18813000-1";"ro"
"18813300-4";;"goods";"Городская обувь";"18813000-1";"ru"
"18814000-8";;"goods";"Footwear with uppers of textile materials";"18810000-0";"en"
"18814000-8";;"goods";"Încălţăminte cu feţe din material textil";"18810000-0";"ro"
"18814000-8";;"goods";"Обувь с верхом из тканевых материалов";"18810000-0";"ru"
"18815000-5";;"goods";"Boots";"18810000-0";"en"
"18815000-5";;"goods";"Cizme";"18810000-0";"ro"
"18815000-5";;"goods";"Сапоги";"18810000-0";"ru"
"18815100-6";;"goods";"Ankle boots";"18815000-5";"en"
"18815100-6";;"goods";"Botine";"18815000-5";"ro"
"18815100-6";;"goods";"Ботинки";"18815000-5";"ru"
"18815200-7";;"goods";"Calf boots";"18815000-5";"en"
"18815200-7";;"goods";"Cizme trei sferturi";"18815000-5";"ro"
"18815200-7";;"goods";"Сапоги три четверти";"18815000-5";"ru"
"18815300-8";;"goods";"Knee boots";"18815000-5";"en"
"18815300-8";;"goods";"Cizme lungi";"18815000-5";"ro"
"18815300-8";;"goods";"Длинные сапоги";"18815000-5";"ru"
"18815400-9";;"goods";"Waders";"18815000-5";"en"
"18815400-9";;"goods";"Cizme pescăreşti";"18815000-5";"ro"
"18815400-9";;"goods";"Сапоги рыбацкие";"18815000-5";"ru"
"18816000-2";;"goods";"Galoshes";"18810000-0";"en"
"18816000-2";;"goods";"Galoşi";"18810000-0";"ro"
"18816000-2";;"goods";"Калоши";"18810000-0";"ru"
"18820000-3";;"goods";"Sports footwear";"18800000-7";"en"
"18820000-3";;"goods";"Încălţăminte pentru sport";"18800000-7";"ro"
"18820000-3";;"goods";"Спортивная обувь";"18800000-7";"ru"
"18821000-0";;"goods";"Ski footwear";"18820000-3";"en"
"18821000-0";;"goods";"Încălţăminte pentru schi";"18820000-3";"ro"
"18821000-0";;"goods";"Лыжные ботинки";"18820000-3";"ru"
"18821100-1";;"goods";"Cross-country ski footwear";"18821000-0";"en"
"18821100-1";;"goods";"Încălţăminte pentru schi fond";"18821000-0";"ro"
"18821100-1";;"goods";"Лыжные ботинки для развлечения";"18821000-0";"ru"
"18822000-7";;"goods";"Training shoes";"18820000-3";"en"
"18822000-7";;"goods";"Încălţăminte pentru antrenament";"18820000-3";"ro"
"18822000-7";;"goods";"Тренировочная обувь";"18820000-3";"ru"
"18823000-4";;"goods";"Climbing boots";"18820000-3";"en"
"18823000-4";;"goods";"Încălţăminte pentru munte";"18820000-3";"ro"
"18823000-4";;"goods";"Горная обувь";"18820000-3";"ru"
"18824000-1";;"goods";"Football boots";"18820000-3";"en"
"18824000-1";;"goods";"Încălţăminte pentru fotbal";"18820000-3";"ro"
"18824000-1";;"goods";"Футбольная обувь";"18820000-3";"ru"
"18830000-6";;"goods";"Protective footwear";"18800000-7";"en"
"18830000-6";;"goods";"Încălţăminte de protecţie";"18800000-7";"ro"
"18830000-6";;"goods";"Защитная обувь";"18800000-7";"ru"
"18831000-3";;"goods";"Footwear incorporating a protective metal toecap";"18830000-6";"en"
"18831000-3";;"goods";"Încălţăminte cu vârf de protecţie de metal";"18830000-6";"ro"
"18831000-3";;"goods";"Обувь с защитным металлически м подноском";"18830000-6";"ru"
"18832000-0";;"goods";"Special footwear";"18830000-6";"en"
"18832000-0";;"goods";"Încălţăminte specială";"18830000-6";"ro"
"18832000-0";;"goods";"Специальная обувь";"18830000-6";"ru"
"18832100-1";;"goods";"Flying footwear";"18832000-0";"en"
"18832100-1";;"goods";"Încălţăminte pentru zbor";"18832000-0";"ro"
"39235000-8";;"goods";"Tokens";"39230000-3";"en"
"18832100-1";;"goods";"Летная обувь";"18832000-0";"ru"
"18840000-9";;"goods";"Parts of footwear";"18800000-7";"en"
"18840000-9";;"goods";"Părţi de încălţăminte";"18800000-7";"ro"
"18840000-9";;"goods";"Детали обуви";"18800000-7";"ru"
"18841000-6";;"goods";"Footwear uppers";"18840000-9";"en"
"18841000-6";;"goods";"Feţe de încălţăminte";"18840000-9";"ro"
"18841000-6";;"goods";"Верх обуви";"18840000-9";"ru"
"18842000-3";;"goods";"Soles";"18840000-9";"en"
"18842000-3";;"goods";"Tălpi";"18840000-9";"ro"
"18842000-3";;"goods";"Подошвы";"18840000-9";"ru"
"18843000-0";;"goods";"Heels";"18840000-9";"en"
"18843000-0";;"goods";"Tocuri";"18840000-9";"ro"
"18843000-0";;"goods";"Каблуки";"18840000-9";"ru"
"18900000-8";;"goods";"Luggage, saddlery, sacks and bags";"18000000-9";"en"
"18900000-8";;"goods";"Articole de voiaj, şelărie, saci şi săculeţe";"18000000-9";"ro"
"18900000-8";;"goods";"Товары для путешествий, седельное снаряжение, мешки и пакеты";"18000000-9";"ru"
"18910000-1";;"goods";"Saddlery";"18900000-8";"en"
"18910000-1";;"goods";"Şelărie";"18900000-8";"ro"
"18910000-1";;"goods";"Седельное снаряжение";"18900000-8";"ru"
"18911000-8";;"goods";"Saddles";"18910000-1";"en"
"18911000-8";;"goods";"Şei";"18910000-1";"ro"
"18911000-8";;"goods";"Седла";"18910000-1";"ru"
"18912000-5";;"goods";"Riding crops";"18910000-1";"en"
"18912000-5";;"goods";"Cravaşe";"18910000-1";"ro"
"18912000-5";;"goods";"Лыжные палки";"18910000-1";"ru"
"18913000-2";;"goods";"Whips";"18910000-1";"en"
"18913000-2";;"goods";"Bice";"18910000-1";"ro"
"18913000-2";;"goods";"Кнуты";"18910000-1";"ru"
"18920000-4";;"goods";"Luggage";"18900000-8";"en"
"18920000-4";;"goods";"Articole de voiaj";"18900000-8";"ro"
"18920000-4";;"goods";"Товары для путешествий";"18900000-8";"ru"
"18921000-1";;"goods";"Suitcases";"18920000-4";"en"
"18921000-1";;"goods";"Valize";"18920000-4";"ro"
"18921000-1";;"goods";"Чемоданы";"18920000-4";"ru"
"18923000-5";;"goods";"Pouches and wallets";"18920000-4";"en"
"18923000-5";;"goods";"Poşete şi portofele";"18920000-4";"ro"
"18923000-5";;"goods";"Кошельки и бумажники";"18920000-4";"ru"
"18923100-6";;"goods";"Pouches";"18923000-5";"en"
"18923100-6";;"goods";"Poşete";"18923000-5";"ro"
"18923100-6";;"goods";"Кошельки";"18923000-5";"ru"
"18923200-7";;"goods";"Wallets";"18923000-5";"en"
"18923200-7";;"goods";"Portofele";"18923000-5";"ro"
"18923200-7";;"goods";"Кошельки";"18923000-5";"ru"
"18924000-2";;"goods";"Trunks";"18920000-4";"en"
"18924000-2";;"goods";"Cufere";"18920000-4";"ro"
"18924000-2";;"goods";"Сундуки";"18920000-4";"ru"
"18925000-9";;"goods";"Water-bottle holders and holsters";"18920000-4";"en"
"18925000-9";;"goods";"Suporturi pentru ploşti şi etuiuri";"18920000-4";"ro"
"18925000-9";;"goods";"Стойка для плосок и коробочек";"18920000-4";"ru"
"18925100-0";;"goods";"Water-bottle holders";"18925000-9";"en"
"18925100-0";;"goods";"Suporturi pentru ploşti";"18925000-9";"ro"
"18925100-0";;"goods";"Стойка для плосок";"18925000-9";"ru"
"18925200-1";;"goods";"Holsters";"18925000-9";"en"
"18925200-1";;"goods";"Etuiuri";"18925000-9";"ro"
"18925200-1";;"goods";"Коробочки";"18925000-9";"ru"
"18929000-7";;"goods";"Toilet cases";"18920000-4";"en"
"18929000-7";;"goods";"Truse de toaletă";"18920000-4";"ro"
"18929000-7";;"goods";"Туалетные комплекты";"18920000-4";"ru"
"18930000-7";;"goods";"Sacks and bags";"18900000-8";"en"
"18930000-7";;"goods";"Saci şi săculeţe";"18900000-8";"ro"
"18930000-7";;"goods";"Мешки и пакеты";"18900000-8";"ru"
"18931000-4";;"goods";"Travel bags";"18930000-7";"en"
"18931000-4";;"goods";"Genţi de voiaj";"18930000-7";"ro"
"18931000-4";;"goods";"Сумки для путешествий";"18930000-7";"ru"
"18931100-5";;"goods";"Rucksacks";"18931000-4";"en"
"18931100-5";;"goods";"Rucsacuri";"18931000-4";"ro"
"18931100-5";;"goods";"Рюкзаки";"18931000-4";"ru"
"18932000-1";;"goods";"Sports bags";"18930000-7";"en"
"18932000-1";;"goods";"Genţi de sport";"18930000-7";"ro"
"18932000-1";;"goods";"Сумки спортивные";"18930000-7";"ru"
"18933000-8";;"goods";"Mail or parcel bags";"18930000-7";"en"
"18933000-8";;"goods";"Saci pentru expedieri poştale";"18930000-7";"ro"
"18933000-8";;"goods";"Мешки для почтовых отправлений";"18930000-7";"ru"
"18933100-9";;"goods";"Post pouches";"18933000-8";"en"
"18933100-9";;"goods";"Saci poştali";"18933000-8";"ro"
"18933100-9";;"goods";"Почтовые мешки";"18933000-8";"ru"
"18934000-5";;"goods";"Kitbags";"18930000-7";"en"
"18934000-5";;"goods";"Sacoşe";"18930000-7";"ro"
"18934000-5";;"goods";"Пакеты";"18930000-7";"ru"
"18935000-2";;"goods";"Laundry bags";"18930000-7";"en"
"18935000-2";;"goods";"Saci de rufe";"18930000-7";"ro"
"18935000-2";;"goods";"Мешки для прачечных";"18930000-7";"ru"
"18936000-9";;"goods";"Textile bags";"18930000-7";"en"
"18936000-9";;"goods";"Saci textili";"18930000-7";"ro"
"18936000-9";;"goods";"Мешки из ткани";"18930000-7";"ru"
"18937000-6";;"goods";"Goods-packing sacks";"18930000-7";"en"
"18937000-6";;"goods";"Saci de ambalaj";"18930000-7";"ro"
"18937000-6";;"goods";"Упаковочные мешки";"18930000-7";"ru"
"18937100-7";;"goods";"Goods-packing bags";"18937000-6";"en"
"18937100-7";;"goods";"Săculeţe de ambalaj";"18937000-6";"ro"
"18937100-7";;"goods";"Упаковочные пакеты";"18937000-6";"ru"
"18938000-3";;"goods";"Padded bags";"18930000-7";"en"
"18938000-3";;"goods";"Pungi cu dublură de protecţie";"18930000-7";"ro"
"18938000-3";;"goods";"Сумки с двойной защитой";"18930000-7";"ru"
"18939000-0";;"goods";"Handbags";"18930000-7";"en"
"18939000-0";;"goods";"Genţi de mână";"18930000-7";"ro"
"18939000-0";;"goods";"Ручные сумки";"18930000-7";"ru"
"19000000-6";;"goods";"Leather and textile fabrics, plastic and rubber materials";"";"en"
"19000000-6";;"goods";"Produse din piele, materiale textile, din plastic şi din cauciuc";"";"ro"
"19000000-6";;"goods";"Кожаные и текстильные, пластмассовые и резиновые материалы";"";"ru"
"19100000-7";;"goods";"Leather";"19000000-6";"en"
"19100000-7";;"goods";"Piele";"19000000-6";"ro"
"19100000-7";;"goods";"Кожа";"19000000-6";"ru"
"19110000-0";;"goods";"Chamois leather";"19100000-7";"en"
"19110000-0";;"goods";"Piele chamois";"19100000-7";"ro"
"19110000-0";;"goods";"Замшевая кожа";"19100000-7";"ru"
"19120000-3";;"goods";"Leather of bovine or equine animals";"19100000-7";"en"
"19120000-3";;"goods";"Piele de bovidee sau de ecvidee";"19100000-7";"ro"
"19120000-3";;"goods";"Кожа крупного рогатого скота или лошадиная кожа";"19100000-7";"ru"
"19130000-6";;"goods";"Leather of sheep, goats or pigs";"19100000-7";"en"
"19130000-6";;"goods";"Piele de ovine, de caprine sau de porcine";"19100000-7";"ro"
"19130000-6";;"goods";"Кожа овец, коз и свиней";"19100000-7";"ru"
"19131000-3";;"goods";"Sheep- or lamb-skin leather";"19130000-6";"en"
"19131000-3";;"goods";"Piele de oaie sau de miel";"19130000-6";"ro"
"19131000-3";;"goods";"Кожа овец или ягнят";"19130000-6";"ru"
"19132000-0";;"goods";"Goat- or kid-skin leather";"19130000-6";"en"
"19132000-0";;"goods";"Piele de capră sau de ied";"19130000-6";"ro"
"19132000-0";;"goods";"Кожа козы или козленка";"19130000-6";"ru"
"19133000-7";;"goods";"Pig leather";"19130000-6";"en"
"19133000-7";;"goods";"Piele de porcine";"19130000-6";"ro"
"19133000-7";;"goods";"Свиная кожа";"19130000-6";"ru"
"19140000-9";;"goods";"Leather of other animals, composite leather and other leather";"19100000-7";"en"
"19140000-9";;"goods";"Piele de alte animale, piele reconstituită sau alte tipuri de piele";"19100000-7";"ro"
"19140000-9";;"goods";"Кожа прочих животных, композиционная кожа или другие типы кожи";"19100000-7";"ru"
"19141000-6";;"goods";"Leather of other animals";"19140000-9";"en"
"19141000-6";;"goods";"Piele de alte animale";"19140000-9";"ro"
"19141000-6";;"goods";"Кожа прочих животных";"19140000-9";"ru"
"19142000-3";;"goods";"Composite leather";"19140000-9";"en"
"19142000-3";;"goods";"Piele reconstituită";"19140000-9";"ro"
"19142000-3";;"goods";"Воссозданная кожа";"19140000-9";"ru"
"19143000-0";;"goods";"Imitation leather";"19140000-9";"en"
"19143000-0";;"goods";"Imitaţie de piele";"19140000-9";"ro"
"19143000-0";;"goods";"Искусственная кожа";"19140000-9";"ru"
"19144000-7";;"goods";"Patent leather";"19140000-9";"en"
"19144000-7";;"goods";"Piele lăcuită";"19140000-9";"ro"
"19144000-7";;"goods";"Окрашенная кожа";"19140000-9";"ru"
"19160000-5";;"goods";"Watch straps";"19100000-7";"en"
"19160000-5";;"goods";"Curele de ceas";"19100000-7";"ro"
"19160000-5";;"goods";"Ремешки для часов";"19100000-7";"ru"
